out, count
1,19
2,14
3,12
4,14
5,5
7,22
8,5
9,9
10,6
11,7
12,28
13,3
14,15
15,40
16,18
17,20
18,24
20,47
21,58
23,1
24,21
25,29
26,22
28,70
29,31
30,5
31,28
32,2
33,42
34,12
35,2
36,21
37,33
38,4
39,1
40,29
41,8
42,34
43,9
44,34
46,29
47,5
48,3
50,1
51,12
52,1
53,24
54,7
55,3
57,5
58,8
59,8
61,13
62,13
64,13
65,41
66,1
67,12
68,25
69,16
70,20
71,1
72,16
73,3
75,9
76,17
77,2
78,10
79,17
80,41
81,21
82,27
83,3
84,14
85,5
86,9
87,21
88,5
90,7
91,4
92,25
94,3
95,3
96,16
97,41
98,45
99,9
100,71
101,1
102,22
103,3
104,16
107,8
108,25
109,20
110,52
112,12
113,21
114,5
115,18
116,23
117,3
118,23
119,30
120,1
121,22
122,18
123,36
124,2
125,1
127,13
128,12
129,1
130,3
131,29
132,30
133,1
134,23
135,46
138,11
139,36
140,17
141,16
142,1
143,28
144,40
145,5
146,3
148,3
151,17
152,23
153,1
155,10
156,5
157,4
158,5
159,3
160,3
161,6
162,2
163,8
164,22
165,4
166,7
167,5
168,1
169,27
170,3
171,4
173,13
174,5
175,2
176,9
177,5
178,15
179,1
180,1
181,3
182,3
183,13
185,9
187,49
188,2
189,28
190,4
191,23
192,46
193,23
194,44
195,38
196,17
197,27
198,4
199,1
200,5
202,4
203,117
204,10
205,18
206,4
209,46
211,31
212,23
214,1
215,2
216,88
217,46
218,20
219,46
220,54
221,7
222,99
223,110
224,39
225,8
226,36
227,38
228,18
229,4
230,10
231,78
232,3
233,2
234,1
235,23
236,20
237,1
238,31
240,2
241,18
242,36
243,11
244,6
245,8
246,22
247,9
248,3
249,6
251,2
252,7
253,64
254,6
255,6
256,90
257,4
258,4
261,2
263,35
264,9
265,1
266,1
268,7
271,6
272,33
273,44
274,3
275,4
276,5
277,4
278,1
279,26
280,11
281,58
282,31
283,31
285,1
287,6
288,11
289,7
290,39
291,1
292,18
294,70
296,1
297,25
299,31
300,1
301,2
303,3
304,14
306,10
308,6
311,8
312,3
313,30
314,11
315,6
316,1
317,1
318,20
320,4
321,1
322,5
323,5
325,10
326,28
327,13
328,1
329,4
330,29
331,3
333,44
334,39
335,22
336,6
337,2
338,7
339,3
340,4
341,22
343,2
344,9
345,16
347,16
348,7
349,11
350,4
351,13
352,1
353,17
354,33
355,11
356,1
358,2
359,38
360,5
361,9
363,12
364,35
365,31
366,1
368,1
369,8
370,6
371,12
372,6
373,24
374,3
375,2
377,9
378,2
379,2
380,1
381,2
382,1
383,1
384,1
385,3
386,8
387,1
388,14
389,1
390,3
391,1
392,1
393,25
394,2
396,10
397,9
399,56
400,13
401,3
402,35
403,3
404,44
406,3
407,1
408,9
409,1
410,1
411,48
413,8
414,8
415,12
416,2
417,41
418,10
419,3
422,24
423,4
424,17
425,1
426,36
427,7
428,4
430,5
431,29
432,23
433,9
434,4
435,6
436,4
437,64
438,2
439,1
440,12
441,11
442,13
443,9
446,1
447,19
448,14
449,8
450,6
451,8
452,8
453,41
454,5
455,34
456,26
457,26
458,8
459,27
460,2
461,26
462,10
463,9
464,9
465,8
466,7
467,1
468,3
469,1
470,10
471,10
472,29
473,38
474,2
475,1
476,1
478,1
479,5
480,4
481,20
482,18
483,45
484,24
485,19
486,11
487,65
488,4
489,3
490,3
491,1
492,2
493,10
494,7
495,3
496,37
497,20
498,1
499,4
500,33
501,2
502,2
503,2
506,10
508,2
511,2
512,1
513,3
514,6
515,2
516,2
517,34
518,6
519,14
520,3
521,6
522,1
523,14
524,5
525,6
527,18
528,79
529,18
530,23
531,5
532,8
533,9
534,9
535,14
536,2
537,23
538,17
539,2
541,17
542,1
543,1
544,1
545,21
546,27
547,10
548,33
549,4
550,15
551,2
552,4
553,8
554,22
555,3
556,3
557,5
558,8
559,7
560,16
561,1
562,86
563,2
564,4
566,16
567,1
568,5
569,2
576,3
577,59
578,3
580,4
582,11
583,3
584,1
585,5
586,1
587,32
589,1
590,3
591,7
592,43
593,26
594,1
595,6
596,1
597,2
598,37
601,1
602,33
603,1
604,8
606,8
607,45
608,8
609,29
610,52
611,24
612,6
614,1
615,4
616,110
617,94
618,7
619,2
620,3
621,1
622,2
623,6
624,42
625,11
628,4
629,5
630,26
633,45
634,3
635,11
638,10
639,2
640,2
641,22
642,65
644,4
645,5
646,39
648,3
649,5
650,1
651,11
652,91
653,13
654,35
655,1
656,10
657,1
658,33
659,6
660,3
661,7
662,2
663,4
664,31
665,26
666,15
667,4
668,18
674,5
676,1
677,14
678,6
679,2
680,8
681,9
682,1
683,56
684,1
685,14
686,2
687,1
688,3
689,4
690,21
691,5
692,1
693,5
694,3
695,10
696,2
698,6
699,1
700,12
701,5
702,39
703,1
704,5
705,1
706,8
707,2
708,43
709,8
710,12
711,2
712,36
713,19
714,2
715,6
716,3
717,1
718,4
719,9
720,2
721,21
722,5
723,71
724,10
725,2
726,48
727,2
728,5
729,3
730,13
733,15
734,12
735,20
736,35
737,3
739,7
740,5
741,2
742,19
743,56
744,40
745,10
746,4
749,3
750,15
751,8
752,63
753,4
754,3
756,32
757,16
759,2
761,4
762,3
763,3
764,24
765,2
766,8
767,24
768,4
769,2
770,5
771,4
773,56
774,7
775,19
776,2
777,24
781,23
782,12
783,9
784,13
785,28
786,3
787,27
788,24
790,7
791,2
792,10
793,2
794,12
795,2
796,7
797,19
798,6
799,32
800,6
801,4
802,12
803,7
804,1
805,22
806,8
807,15
808,63
809,6
810,18
811,11
812,44
813,9
814,9
815,7
816,1
818,14
819,3
820,5
821,62
823,5
824,14
825,36
826,2
827,1
830,11
831,5
832,18
833,13
834,11
835,3
836,2
837,4
838,4
839,18
840,1
841,1
842,9
843,3
844,11
845,9
846,8
847,31
848,14
849,9
850,21
851,10
852,6
853,18
854,23
855,1
856,11
857,66
858,10
859,27
860,1
861,42
862,1
867,1
870,2
871,3
874,15
878,40
880,17
881,2
883,2
884,12
890,2
891,14
892,16
897,3
898,5
903,1
904,21
906,1
909,12
910,6
911,10
912,49
913,22
914,19
915,15
916,8
917,7
918,16
919,9
920,16
921,4
922,4
923,22
924,7
925,1
926,19
927,8
928,1
929,15
930,18
931,39
932,1
933,19
934,9
935,20
936,1
937,19
938,8
939,11
940,1
941,9
942,1
943,1
944,39
945,12
946,3
947,1
948,4
951,16
952,22
953,3
954,80
955,5
956,37
957,2
958,9
959,1
960,53
961,2
962,34
963,4
964,1
965,3
966,3
967,17
968,13
969,3
970,28
971,26
972,8
973,8
974,5
975,1
976,48
977,2
978,1
979,1
981,10
982,16
983,10
984,14
985,18
986,3
988,6
989,4
990,1
991,5
992,11
994,3
995,6
996,11
997,2
