id,out-node,in-node
0,0, 1
0,0, 2
0,0, 3
0,0, 4
0,0, 5
0,0, 6
0,0, 7
0,0, 8
0,0, 9
0,0, 10
0,0, 11
0,0, 12
0,0, 13
0,0, 14
0,15, 0
0,15, 16
0,15, 17
0,15, 18
0,15, 19
0,15, 2
0,15, 20
0,15, 21
0,15, 22
0,15, 4
0,15, 23
0,15, 24
0,15, 25
0,15, 26
0,15, 27
0,15, 5
0,15, 28
0,15, 29
0,15, 30
0,15, 31
0,15, 32
0,15, 33
0,15, 8
0,15, 34
0,15, 35
0,15, 36
0,15, 37
0,15, 38
0,15, 39
0,15, 40
0,15, 41
0,15, 10
0,15, 11
0,15, 42
0,15, 43
0,15, 12
0,15, 44
0,15, 45
0,15, 46
0,15, 47
0,48, 49
0,48, 50
0,48, 51
0,52, 53
0,54, 2
0,54, 25
0,54, 55
0,54, 39
0,54, 56
0,54, 57
0,54, 58
0,59, 2
0,59, 60
0,59, 4
0,59, 61
0,59, 10
0,59, 62
0,59, 47
0,59, 63
0,64, 2
0,64, 65
0,64, 4
0,64, 66
0,64, 67
0,64, 68
0,64, 69
0,64, 9
0,64, 10
0,64, 42
0,64, 45
0,64, 47
0,64, 70
0,71, 72
0,73, 74
0,73, 4
0,73, 39
0,75, 2
0,75, 21
0,75, 76
0,75, 77
0,75, 5
0,75, 78
0,75, 10
0,75, 11
0,75, 79
0,80, 65
0,80, 21
0,80, 76
0,80, 22
0,80, 4
0,80, 81
0,80, 82
0,80, 77
0,80, 66
0,80, 83
0,80, 5
0,80, 84
0,80, 85
0,80, 7
0,80, 86
0,80, 78
0,80, 8
0,80, 87
0,80, 34
0,80, 69
0,80, 36
0,80, 38
0,80, 88
0,80, 57
0,80, 58
0,80, 10
0,80, 11
0,80, 43
0,80, 44
0,80, 45
0,80, 47
0,80, 89
0,80, 90
0,80, 91
0,80, 92
0,80, 93
0,80, 94
0,80, 95
0,80, 51
0,80, 96
0,80, 97
0,98, 75
0,98, 99
0,98, 100
0,98, 2
0,98, 101
0,98, 65
0,98, 3
0,98, 102
0,98, 103
0,98, 22
0,98, 4
0,98, 104
0,98, 82
0,98, 61
0,98, 105
0,98, 27
0,98, 106
0,98, 5
0,98, 107
0,98, 29
0,98, 30
0,98, 86
0,98, 108
0,98, 78
0,98, 109
0,98, 110
0,98, 34
0,98, 49
0,98, 35
0,98, 36
0,98, 37
0,98, 39
0,98, 57
0,98, 111
0,98, 41
0,98, 112
0,98, 10
0,98, 11
0,98, 43
0,98, 12
0,98, 45
0,98, 113
0,98, 79
0,98, 46
0,98, 114
0,115, 116
0,115, 65
0,115, 25
0,115, 66
0,115, 117
0,115, 87
0,115, 69
0,115, 36
0,115, 38
0,115, 40
0,115, 118
0,115, 58
0,115, 44
0,115, 62
0,115, 47
0,115, 119
0,115, 94
0,115, 13
0,120, 62
0,16, 115
0,16, 1
0,16, 20
0,16, 4
0,16, 104
0,16, 25
0,16, 121
0,16, 5
0,16, 85
0,16, 37
0,16, 39
0,16, 41
0,16, 10
0,16, 11
0,16, 12
0,16, 122
0,16, 79
0,16, 123
0,124, 125
0,124, 126
