,uid,vid
0,0,0
1,0,0
2,0,1
3,0,0
4,0,55
5,0,0
6,0,22
7,0,2
8,0,3
9,0,2
10,0,9
11,0,0
12,0,1
13,0,0
14,0,1
15,0,5
16,0,0
17,0,0
18,0,0
19,0,1
20,0,1
21,0,8
22,0,3
23,0,0
24,0,3
25,0,11
26,0,15
27,0,3
28,0,8
29,0,6
30,0,1
31,0,7
32,0,12
33,0,0
34,0,1
35,0,12
36,0,1
37,0,3
38,0,0
39,0,21
40,0,3
41,0,6
42,0,3
43,0,0
44,0,9
45,0,7
46,0,11
47,0,0
48,0,0
49,0,0
50,0,2
51,0,11
52,0,5
53,0,2
54,0,5
55,0,34
56,0,3
57,0,1
58,0,0
59,0,0
60,0,10
61,0,5
62,0,6
63,0,0
64,0,6
65,0,13
66,0,0
67,0,0
68,0,10
69,0,10
70,0,14
71,0,0
72,0,12
73,0,3
74,0,3
75,0,0
76,0,8
77,0,2
78,0,11
79,0,0
80,0,0
81,0,0
82,0,0
83,0,1
84,0,42
85,0,4
86,0,0
87,0,0
88,0,9
89,0,2
90,0,1
91,0,7
92,0,0
93,0,0
94,0,1
95,0,7
96,0,1
97,0,0
98,0,1
99,0,0
100,0,6
101,0,2
102,0,1
103,0,0
104,0,3
105,0,6
106,0,13
107,0,2
108,0,0
109,0,7
110,0,1
111,0,2
112,0,4
113,0,0
114,0,9
115,0,1
116,0,0
117,0,1
118,0,0
119,0,0
120,0,0
121,0,3
122,0,7
123,0,2
124,0,6
125,0,7
126,0,22
127,0,18
128,0,1
129,0,0
130,0,2
131,0,1
132,0,0
133,0,0
134,0,0
135,0,4
136,0,2
137,0,0
138,0,0
139,0,3
140,0,0
141,0,1
142,0,4
143,0,13
144,0,31
145,0,0
146,0,0
147,0,3
148,0,1
149,0,5
150,0,0
151,0,3
152,0,3
153,0,0
154,0,2
155,0,5
156,0,8
157,0,0
158,0,4
159,0,0
160,0,0
161,0,4
162,0,0
163,0,1
164,0,0
165,0,7
166,0,1
167,0,4
168,0,5
169,0,0
170,0,0
171,0,13
172,0,2
173,0,6
174,0,0
175,0,0
176,0,2
177,0,1
178,0,3
179,0,2
180,0,7
181,0,11
182,0,1
183,0,0
184,0,10
185,0,2
186,0,1
187,0,15
188,0,12
189,0,2
190,0,0
191,0,12
192,0,0
193,0,1
194,0,7
195,0,0
196,0,0
197,0,1
198,0,0
199,0,0
200,0,8
201,0,0
202,0,1
203,0,0
204,0,8
205,0,19
206,0,7
207,0,12
208,0,3
209,0,1
210,0,0
211,0,15
212,0,7
213,0,1
214,0,5
215,0,1
216,0,0
217,0,0
218,0,40
219,0,2
220,0,21
221,0,11
222,0,0
223,0,10
224,0,0
225,0,4
226,0,1
227,0,6
228,0,0
229,0,11
230,0,4
231,0,6
232,0,4
233,0,3
234,0,3
235,0,0
236,0,1
237,0,0
238,0,17
239,0,9
240,0,4
241,0,0
242,0,9
243,0,2
244,0,1
245,0,1
246,0,3
247,0,6
248,0,5
249,0,4
250,0,0
251,0,2
252,0,2
253,0,11
254,0,0
255,0,8
256,0,13
257,0,4
258,0,2
259,0,8
260,0,3
261,0,1
262,0,25
263,0,1
264,0,3
265,0,1
266,0,13
267,0,0
268,0,0
269,0,0
270,0,13
271,0,4
272,0,5
273,0,1
274,0,2
275,0,14
276,0,0
277,0,2
278,0,0
279,0,3
280,0,1
281,0,4
282,0,3
283,0,4
284,0,5
285,0,0
286,0,3
287,0,2
288,0,1
289,0,0
290,0,28
291,0,17
292,0,24
293,0,8
294,0,14
295,0,0
296,0,0
297,0,0
298,0,4
299,0,0
300,0,8
301,0,4
302,0,0
303,0,1
304,0,3
305,0,0
306,0,0
307,0,6
308,0,4
309,0,5
310,0,13
311,0,19
312,0,0
313,0,2
314,0,1
315,0,2
316,0,0
317,0,4
318,0,11
319,0,0
320,0,2
321,0,4
322,0,3
323,0,0
324,0,1
325,0,2
326,0,1
327,0,23
328,0,11
329,0,5
330,0,8
331,0,0
332,0,4
333,0,1
334,0,0
335,0,3
336,0,3
337,0,15
338,0,26
339,0,2
340,0,0
341,0,10
342,0,5
343,0,0
344,0,3
345,0,6
346,0,2
347,0,2
348,0,6
349,0,0
350,0,0
351,0,3
352,0,6
353,0,3
354,0,0
355,0,1
356,0,5
357,0,1
358,0,12
359,0,6
360,0,0
361,0,2
362,0,3
363,0,2
364,0,1
365,0,21
366,0,2
367,0,1
368,0,0
369,0,13
370,0,4
371,0,4
372,0,10
373,0,4
374,0,1
375,0,5
376,0,12
377,0,4
378,0,15
379,0,4
380,0,3
381,0,2
382,0,0
383,0,2
384,0,2
385,0,1
386,0,5
387,0,1
388,0,12
389,0,2
390,0,3
391,0,3
392,0,1
393,0,1
394,0,0
395,0,4
396,0,0
397,0,1
398,0,27
399,0,5
400,0,2
401,0,1
402,0,5
403,0,4
404,0,8
405,0,41
406,0,0
407,0,6
408,0,1
409,0,1
410,0,6
411,0,6
412,0,0
413,0,0
414,0,2
415,0,0
416,0,0
417,0,0
418,0,5
419,0,1
420,0,0
421,0,11
422,0,11
423,0,4
424,0,0
425,0,3
426,0,3
427,0,9
428,0,2
429,0,0
430,0,9
431,0,1
432,0,3
433,0,2
434,0,4
435,0,0
436,0,0
437,0,5
438,0,2
439,0,12
440,0,38
441,0,9
442,0,19
443,0,16
444,0,0
445,0,0
446,0,4
447,0,2
448,0,1
449,0,3
450,0,0
451,0,0
452,0,8
453,0,4
454,0,0
455,0,7
456,0,1
457,0,1
458,0,18
459,0,0
460,0,18
461,0,11
462,0,0
463,0,27
464,0,0
465,0,3
466,0,4
467,0,3
468,0,0
469,0,0
470,0,10
471,0,3
472,0,18
473,0,1
474,0,17
475,0,9
476,0,3
477,0,14
478,0,3
479,0,1
480,0,7
481,0,5
482,0,22
483,0,12
484,0,1
485,0,3
486,0,0
487,0,2
488,0,3
489,0,0
490,0,22
491,0,22
492,0,3
493,0,12
494,0,0
495,0,9
496,0,5
497,0,21
498,0,13
499,0,0
500,0,0
501,0,0
502,0,9
503,0,30
504,0,5
505,0,6
506,0,0
507,0,0
508,0,0
509,0,0
510,0,3
511,0,1
512,0,1
513,0,1
514,0,1
515,0,24
516,0,21
517,0,2
518,0,1
519,0,7
520,0,5
521,0,0
522,0,6
523,0,0
524,0,0
525,0,3
526,0,1
527,0,1
528,0,2
529,0,0
530,0,2
531,0,0
532,0,0
533,0,14
534,0,20
535,0,0
536,0,0
537,1,0
538,1,13
539,1,7
540,1,6
541,1,11
542,1,3
543,1,0
544,1,22
545,1,3
546,1,0
547,1,13
548,1,2
549,1,1
550,1,8
551,1,5
552,1,7
553,1,6
554,1,11
555,1,11
556,1,6
557,1,0
558,1,11
559,1,0
560,1,0
561,1,2
562,1,1
563,1,0
564,1,4
565,1,17
566,1,1
567,1,1
568,1,4
569,1,1
570,1,1
571,1,3
