,uid,vid,source
0,35443,899,dataset_ubicomp2013_checkins.txt
1,24973,42406,dataset_ubicomp2013_checkins.txt
2,14860,177,dataset_ubicomp2013_checkins.txt
3,222505,177,dataset_ubicomp2013_checkins.txt
4,63524,609,dataset_ubicomp2013_checkins.txt
5,51957,435580,dataset_ubicomp2013_checkins.txt
6,7860,68829,dataset_ubicomp2013_checkins.txt
7,8952,12790,dataset_ubicomp2013_checkins.txt
8,42283,15071,dataset_ubicomp2013_checkins.txt
9,14506,25864,dataset_ubicomp2013_checkins.txt
10,121273,20624,dataset_ubicomp2013_checkins.txt
11,25624,77986,dataset_ubicomp2013_checkins.txt
12,31594,23124,dataset_ubicomp2013_checkins.txt
13,23264,908,dataset_ubicomp2013_checkins.txt
14,58758,43480,dataset_ubicomp2013_checkins.txt
15,7128,34618,dataset_ubicomp2013_checkins.txt
16,93642,12052,dataset_ubicomp2013_checkins.txt
17,47596,12042,dataset_ubicomp2013_checkins.txt
18,59796,14197,dataset_ubicomp2013_checkins.txt
19,60062,381,dataset_ubicomp2013_checkins.txt
20,60486,13519,dataset_ubicomp2013_checkins.txt
21,130096,13015,dataset_ubicomp2013_checkins.txt
22,109481,13424,dataset_ubicomp2013_checkins.txt
23,186359,11100,dataset_ubicomp2013_checkins.txt
24,69593,17741,dataset_ubicomp2013_checkins.txt
25,133092,15261,dataset_ubicomp2013_checkins.txt
26,12246,12580,dataset_ubicomp2013_checkins.txt
27,13173,17030,dataset_ubicomp2013_checkins.txt
28,16474,163313,dataset_ubicomp2013_checkins.txt
29,73976,13146,dataset_ubicomp2013_checkins.txt
30,258400,49727,dataset_ubicomp2013_checkins.txt
31,31594,14859,dataset_ubicomp2013_checkins.txt
32,43734,741,dataset_ubicomp2013_checkins.txt
33,10469,713,dataset_ubicomp2013_checkins.txt
34,34461,26057,dataset_ubicomp2013_checkins.txt
35,31106,73888,dataset_ubicomp2013_checkins.txt
36,204573,210,dataset_ubicomp2013_checkins.txt
37,230811,147002,dataset_ubicomp2013_checkins.txt
38,47178,17835,dataset_ubicomp2013_checkins.txt
39,44806,13621,dataset_ubicomp2013_checkins.txt
40,159372,102278,dataset_ubicomp2013_checkins.txt
41,57581,25656,dataset_ubicomp2013_checkins.txt
42,139608,75509,dataset_ubicomp2013_checkins.txt
43,17238,9209,dataset_ubicomp2013_checkins.txt
44,224242,132346,dataset_ubicomp2013_checkins.txt
45,32880,39242,dataset_ubicomp2013_checkins.txt
46,27648,12118,dataset_ubicomp2013_checkins.txt
47,241131,12118,dataset_ubicomp2013_checkins.txt
48,34872,123741,dataset_ubicomp2013_checkins.txt
49,210809,1492,dataset_ubicomp2013_checkins.txt
50,180959,25708,dataset_ubicomp2013_checkins.txt
51,188400,160446,dataset_ubicomp2013_checkins.txt
52,51957,435580,dataset_ubicomp2013_checkins.txt
53,80552,43357,dataset_ubicomp2013_checkins.txt
54,9527,933,dataset_ubicomp2013_checkins.txt
55,50620,27966,dataset_ubicomp2013_checkins.txt
56,59122,30863,dataset_ubicomp2013_checkins.txt
57,37005,21639,dataset_ubicomp2013_checkins.txt
58,6528,9250,dataset_ubicomp2013_checkins.txt
59,1106,35908,dataset_ubicomp2013_checkins.txt
